StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participation,age,gender,education,livesinaachen,region,media channels,license,own_vehicle,preferences_mobility_1,preferences_mobility_2,preferences_mobility_3,preferences_mobility_4,preferences_mobility_5,preferences_mobility_6,preferences_mobility_7,preferences_mobility_8,preferences_mobility_9,driving_climate_1,driving_climate_2,driving_climate_3,driving_climate_4,technology_curios,technology_favor,technology_new,technology_moreoften,technology_scared,technology_overload,technology_destroy,technology_complex,technology_succesful,technology_me,technology_solution,technology_happening,utaut_performance1,utaut_performance2,utaut_performance3,utaut_performance 4,utaut_effort1,utaut_effort2,utaut_effort3,utaut_effort4,utaut_social1,utaut_social2,utaut_social3,utaut_hedonic1,utaut_hedonic2,utaut_hedonic3,utaut_pricevalue1,utaut_pricevalue2,utaut_pricevalue3,utaut_fascilitating1,utaut_fascilitating2,utaut_fascilitating3,utaut_fascilitating4,utaut_behavioral1,utaut_behavioral2,utaut_behavioral3,utaut_useintention,Sem_Diff_Ziefle_1,Sem_Diff_Ziefle_2,Sem_Diff_Ziefle_3,Sem_Diff_Ziefle_4,Sem_Diff_Ziefle_5,Sem_Diff_Ziefle_6,Sem_Diff_Ziefle_7,Sem_Diff_Ziefle_8,Sem_Diff_Ziefle_9,Sem_Diff_Ziefle_10,Sem_Diff_Ziefle_11,Sem_Diff_Ziefle_12,Sem_Diff_Ziefle_13,Sem_Diff_Ziefle_14,Sem_Diff_Ziefle_15,Sem_Diff_Ziefle_16,Sem_Diff_Ziefle_17,Sem_Diff_Ziefle_18,Sem_Diff_Ziefle_19,Sem_Diff_Ziefle_20,Sem_Diff_Ziefle_21,Sem_Diff_Ziefle_22,Sem_Diff_Ziefle_23
Anfangsdatum,Enddatum,Antworttyp,IP-Adresse,Aktueller Stand,Dauer (in Sekunden),Beendet,Erfassungsdatum,Antwort-ID,Nachname des Empfängers,Vorname des Empfängers,E-Mail des Empfängers,Externe Datenreferenz,Breitengrad des Standorts,Längengrad des Standorts,Verteilungskanal,Benutzersprache,Bitte treffen Sie eine Wahl,Bitte geben Sie Ihr Alter in Jahren an.,Welchem Geschlecht fühlen Sie sich zugehörig?,Bitte geben Sie Ihren höchsten Bildungsabschluss an.,Wohnen oder arbeiten Sie in der Städteregion Aachen?,Bitte geben Sie Ihre Wohnlage an.,"Bitte geben Sie an, auf welchen Wegen Sie sich über Neuigkeiten aus der Städteregion Aachen informieren (Mehrfachantworten möglich).",Besitzen Sie einen KFZ-Führerschein?,Besitzen Sie ein eigenes Fahrzeug?,"Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 9 = Benutze ich am seltensten. - Auto","Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 9 = Benutze ich am seltensten. - E-Auto","Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 9 = Benutze ich am seltensten. - Roller/Mofa/Motorrad","Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 9 = Benutze ich am seltensten. - Fahrrad","Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 9 = Benutze ich am seltensten. - E-Fahrrad","Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 9 = Benutze ich am seltensten. - E-Roller","Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 9 = Benutze ich am seltensten. - Bus","Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 9 = Benutze ich am seltensten. - Bahn (S-Bahn, Regionalbahn, Fernverkehr)","Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 9 = Benutze ich am seltensten. - Taxi",Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der ansteigende Autoverkehr ist ein großes Problem für den Umweltschutz.,Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Anteil des Autoverkehrs an der Umweltzerstörung wird von den Medien unnötig hochgespielt.,"Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Ich mache mir Sorgen, wenn ich an die Umweltzerstörung durch das Autofahren denke.",Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Autoverkehr bereitet mir hinsichtlich der möglichen Umweltauswirkungen keine ernsthaften Sorgen.,Hinsichtlich technischer Neuentwicklungen bin ich sehr neugierig.,Ich finde schnell Gefallen an technischen Neuentwicklungen.,"Ich bin stets daran interessiert, die neuesten technischen Geräte zu verwenden.","Wenn ich Gelegenheit dazu hätte, würde ich noch viel häufiger technische Produkte nutzen als ich das gegenwärtig tue.","Im Umgang mit moderner Technik habe ich oft Angst, zu versagen.",Für mich stellt der Umgang mit technischen Neuerungen zumeist eine Überforderung dar.,"Ich habe Angst, technische Neuentwicklungen eher kaputt zu machen als dass ich sie richtig benutze.",Den Umgang mit neuer Technik finde ich schwierig - ich kann das meistens einfach nicht.,"Ob ich erfolgreich in der Anwendung moderner Technik bin, hängt im Wesentlichen von mir ab.","Es liegt in meiner Hand, ob mir die Nutzung technischher Neuentwicklungen gelingt - mit Zufall oder Glück hat das wenig zu tun.","Wenn ich im Umgang mit Technik Schwierigkeiten habe, hängt es schlussendlich allein von mir ab, dass ich sie löse.","Das, was passiert, wenn ich mich mit technischen Neuentwicklungen beschäftige, obliegt letztlich meiner Kontrolle.",Ich empfinde den upBUS in meinem Alltag als nützlich.,"Die Nutzung des upBUS erhöht meine Chancen, Dinge zu erreichen, die mir wichtig sind.","Die Nutzung des upBUS hilft mir dabei, Dinge schneller zu erreichen.",Die Nutzung des upBUS erhöht meine Produktivität.,"Zu lernen, wie man den upBUS nutzt, ist einfach für mich.",Meine Interaktion mit dem upBUS ist klar und verständlich.,"Ich finde, der upBUS ist einfach zu benutzen.","Es ist einfach für mich, geübt im Nutzen des upBUS zu werden.","Personen, die mir wichtig sind, würden denken, ich sollte den upBUS nutzen.","Personen, die mein Verhalten beeinflussen, würden denken, ich sollte den upBUS nutzen.","Personen, deren Meinung ich schätze, würden befürworten, dass ich den upBUS nutze.","Den upBUS zu nutzen, macht Spaß.","Den upBUS zu nutzen, ist vergnüglich.","Den upBUS zu nutzen, ist sehr unterhaltsam.",Der upBUS ist preisgünstig.,Der upBUS bietet einen guten Nutzen für das Geld.,Zum angegebenen Preis bietet der upBUS einen guten Nutzen.,"Ich habe die notwendigen Ressourcen, um den upBUS zu nutzen.","Ich habe das notwendige Wissen, um den upBUS zu nutzen.",Der upBUS ist kompatibel mit anderen von mir benutzten Technologien und Anwendungen.,"Ich kann Hilfe von anderen bekommen, wenn ich Schwierigkeiten beim Nutzen des upBUS habe.","Ich würde beabsichtigen, den upBUS in der Zukunft zu nutzen.","Ich würde im Alltag immer versuchen, den upBUS zu nutzen.","Ich hätte vor, regelmäßig den upBUS zu nutzen.",Bitte wählen Sie Ihre beabsichtigte Nutzungshäufigkeit des upBUS aus:,Ich finde den upBUS... - nicht verkehrstauglich:verkehrstauglich,Ich finde den upBUS... - feindlich:freundlich,Ich finde den upBUS... - unübersichtlich:übersichtlich,Ich finde den upBUS... - nicht vertraunswürdig:vertrauenswürdig,Ich finde den upBUS... - riskant:berechenbar,Ich finde den upBUS... - unkontrollierbar:kontrollierbar,Ich finde den upBUS... - angreifbar:beschützt,Ich finde den upBUS... - beängstigend:beruhigend,Ich finde den upBUS... - spionierend:abgeschirmt,Ich finde den upBUS... - datenunsicher:datensicher,Ich finde den upBUS... - unbequem:bequem,Ich finde den upBUS... - zeitaufwendig:zeitsparend,Ich finde den upBUS... - stressig im Straßenverkehr:entspannend im Straßenverkehr,Ich finde den upBUS... - traditionell:neuartig,Ich finde den upBUS... - langweilig:faszinierend,Ich finde den upBUS... - sperrig:elegant,Ich finde den upBUS... - ungewohnt:gewohnt,Ich finde den upBUS... - teuer:erschwinglich,Ich finde den upBUS... - kurzlebig:nachhaltig,Ich finde den upBUS... - umweltschädlich:umweltfreundlich,Ich finde den upBUS... - schlecht angebunden:gut angebunden,Ich finde den upBUS... - ineffizient:effizient,Ich finde den upBUS... - unflexibel:flexibel
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID96""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID87""}","{""ImportId"":""QID4""}","{""ImportId"":""QID99""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_6""}","{""ImportId"":""QID32_7""}","{""ImportId"":""QID32_8""}","{""ImportId"":""QID32_9""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID97_2""}","{""ImportId"":""QID97_3""}","{""ImportId"":""QID97_4""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID93_2""}","{""ImportId"":""QID93_3""}","{""ImportId"":""QID93_4""}","{""ImportId"":""QID93_5""}","{""ImportId"":""QID93_6""}","{""ImportId"":""QID93_7""}","{""ImportId"":""QID93_8""}","{""ImportId"":""QID93_9""}","{""ImportId"":""QID93_10""}","{""ImportId"":""QID93_11""}","{""ImportId"":""QID93_12""}","{""ImportId"":""QID93_13""}","{""ImportId"":""QID93_14""}","{""ImportId"":""QID93_15""}","{""ImportId"":""QID93_16""}","{""ImportId"":""QID93_17""}","{""ImportId"":""QID93_18""}","{""ImportId"":""QID93_19""}","{""ImportId"":""QID93_20""}","{""ImportId"":""QID93_21""}","{""ImportId"":""QID93_22""}","{""ImportId"":""QID93_23""}"
2024-01-04 08:47:07,2024-01-04 08:59:56,1,,100,768,1,2024-01-04 08:59:57,R_5pnAGga1RhZxGXQ,,,,,50.7932,6.095,preview,DE,1,27,2,5,1,3,"2,3,5",1,2,4,5,8,1,6,7,2,3,9,5,1,5,2,5,5,6,5,2,1,2,2,4,5,5,5,5,4,4,3,3,4,5,5,5,5,5,5,5,4,5,4,5,5,5,3,5,5,3,5,5,5,4,4,4,4,2,2,2,4,2,2,4,2,1,5,1,1,5,1,4,3,1,1
2024-01-04 13:42:03,2024-01-04 13:47:32,0,109.42.179.141,100,328,1,2024-01-04 13:47:32,R_1rvJTxh29UQYIr7,,,,,51.2173,6.774,anonymous,DE,1,28,1,5,1,3,10,1,1,2,8,9,6,7,3,1,4,5,6,1,5,3,5,5,4,3,2,2,2,2,5,5,6,6,5,5,6,3,4,4,3,4,5,5,5,5,5,6,5,4,5,5,4,5,5,5,4,5,5,5,4,5,1,2,2,4,4,3,5,5,5,4,5,5,5,2,4,5,5,5,5,5
2024-01-04 13:42:47,2024-01-04 13:49:57,0,84.62.87.215,100,430,1,2024-01-04 13:49:58,R_2EnWtxWgYnu2wxj,,,,,51.207,6.8058,anonymous,DE,1,22,1,5,1,3,"4,8,10,11",1,2,2,6,8,5,9,7,1,3,4,5,3,5,2,3,5,5,5,5,2,5,1,5,5,5,5,4,5,5,4,5,5,5,5,5,4,4,5,5,4,4,4,5,3,3,3,4,5,4,4,2,3,3,4,4,4,2,4,5,4,4,4,2,4,4,4,4,4,4,4,5,5,3,3
2024-01-04 13:42:44,2024-01-04 13:55:15,0,137.226.118.51,100,750,1,2024-01-04 13:55:16,R_7g0U1TnXED8jerY,,,,,50.7688,6.0758,anonymous,DE,1,24,1,5,1,3,"4,5",1,2,3,9,7,5,8,6,1,2,4,5,2,5,3,5,5,5,6,2,3,3,3,3,4,4,3,6,6,5,4,4,5,4,5,5,5,6,6,5,4,5,6,6,6,5,5,3,6,6,6,7,5,5,4,4,2,2,4,2,5,4,2,3,3,2,3,2,2,4,5,5,4,5,5
2024-01-04 13:45:08,2024-01-04 13:56:11,0,5.145.141.74,100,662,1,2024-01-04 13:56:11,R_31XjpJ4Hv9QFxkd,,,,,50.7661,6.1395,anonymous,DE,1,25,1,4,1,3,"10,11",,,4,5,7,8,9,6,1,2,3,5,3,5,2,5,4,2,3,3,2,1,1,3,4,3,5,5,4,5,3,6,6,6,6,4,4,4,5,5,5,4,4,5,5,5,6,6,5,4,6,4,4,4,3,4,3,4,4,2,4,4,4,4,3,5,4,5,3,2,5,4,4,4,3
2024-01-04 13:58:59,2024-01-04 14:12:02,0,89.1.219.230,100,782,1,2024-01-04 14:12:03,R_8nsA6NVe0K3XPS9,,,,,50.9446,7.0115,anonymous,DE,1,25,2,4,1,3,10,2,2,3,8,9,4,5,7,1,2,6,6,5,3,2,5,3,1,3,2,3,1,2,2,1,2,6,4,1,3,1,5,4,4,6,1,1,1,4,3,3,3,2,2,5,5,4,5,1,2,1,2,3,4,4,3,3,4,2,3,3,3,3,4,2,5,2,1,2,2,2,4,3,2,4
2024-01-04 14:27:02,2024-01-04 14:39:07,0,46.114.108.134,100,725,1,2024-01-04 14:39:08,R_70S4TiTmthsmMw7,,,,,50.9446,7.0115,anonymous,DE,1,35,2,4,1,3,"2,3,10",1,1,2,7,8,1,9,4,3,5,6,6,6,6,1,5,4,2,1,4,2,2,1,5,5,4,4,6,6,6,4,6,6,6,6,6,6,6,6,6,6,2,3,3,6,6,6,4,6,6,6,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,2,5,5,5,5,5
2024-01-04 14:41:07,2024-01-04 14:43:46,0,146.241.152.191,100,159,1,2024-01-04 14:43:47,R_6ckdDJuEjyiOEnP,,,,,45.9098,8.6147,anonymous,DE,1,23,1,5,1,3,"2,3,7,10,11",1,2,3,4,8,5,9,6,1,2,7,3,3,2,4,4,5,4,4,5,4,3,3,3,4,5,5,4,5,5,5,4,4,5,5,5,5,4,4,3,5,5,5,4,4,3,4,5,5,5,5,5,2,3,5,4,3,3,1,5,3,5,5,5,5,5,5,4,5,4,4,4,2,4,3
2024-01-04 14:01:12,2024-01-04 14:51:13,0,95.223.44.218,100,3000,1,2024-01-04 14:51:13,R_84vmtfpOCoYwvmj,,,,,50.7661,6.1395,anonymous,DE,1,26,1,4,1,3,"2,3,7,8,10",1,1,3,8,7,1,9,5,2,4,6,5,2,5,2,5,4,4,5,3,3,4,3,5,5,5,5,2,2,3,1,5,5,5,5,2,3,3,3,4,4,2,3,4,5,5,5,5,2,2,2,2,3,2,2,1,1,3,1,2,2,2,1,3,3,4,5,3,2,2,1,2,3,1,3
2024-01-04 14:42:07,2024-01-04 14:57:25,0,83.135.243.222,100,918,1,2024-01-04 14:57:26,R_7eY2a72IpRfph1T,,,,,50.7793,6.2154,anonymous,DE,1,20,1,4,1,3,"2,3,5,7,10",2,2,1,7,9,5,8,6,2,3,4,6,2,5,2,5,5,3,3,2,2,1,2,4,5,2,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,6,6,5,5,5,5,5,5,3,3,3,3,4,3,5,4,5,5,5,5,3,2,4,3,4,5,4,5
2024-01-04 14:41:29,2024-01-04 15:06:37,0,89.15.239.169,100,1508,1,2024-01-04 15:06:38,R_8mkCkW11JV6Whh4,,,,,51.2993,9.491,anonymous,DE,1,56,1,4,1,1,"2,5,8,10",1,1,1,7,8,9,5,6,2,3,4,5,2,3,3,5,4,2,2,2,2,2,2,5,4,4,4,5,5,5,2,5,5,5,5,5,5,5,5,4,3,3,4,4,5,5,5,5,5,4,4,2,5,5,5,3,3,4,3,2,4,4,5,5,5,5,5,5,2,2,5,5,3,4,4
2024-01-04 14:44:02,2024-01-04 15:34:31,0,46.114.106.24,100,3029,1,2024-01-04 15:34:32,R_7FDhCiCSNyifn5P,,,,,50.99,6.964,anonymous,DE,1,24,2,3,1,3,"10,11",1,2,3,6,5,1,7,8,2,4,9,4,2,5,1,5,4,2,2,3,5,3,4,3,5,4,3,4,4,3,3,4,5,5,5,3,2,3,4,4,4,5,5,5,5,5,5,5,4,4,4,5,3,4,4,4,4,4,4,4,4,1,5,1,4,5,3,3,3,5,3,5,4,3,3
