StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participation,age,gender,education,livesinaachen,region,media channels,license,own_vehicle,preferences_mobility_1,preferences_mobility_2,preferences_mobility_3,preferences_mobility_4,preferences_mobility_5,preferences_mobility_6,preferences_mobility_7,preferences_mobility_8,preferences_mobility_9,driving_climate_1,driving_climate_2,driving_climate_3,driving_climate_4,technology_curios,technology_favor,technology_new,technology_moreoften,technology_scared,technology_overload,technology_destroy,technology_complex,technology_succesful,technology_me,technology_solution,technology_happening,utaut_performance1,utaut_performance2,utaut_performance3,utaut_performance 4,utaut_effort1,utaut_effort2,utaut_effort3,utaut_effort4,utaut_social1,utaut_social2,utaut_social3,utaut_hedonic1,utaut_hedonic2,utaut_hedonic3,utaut_pricevalue1,utaut_pricevalue2,utaut_pricevalue3,utaut_fascilitating1,utaut_fascilitating2,utaut_fascilitating3,utaut_fascilitating4,utaut_behavioral1,utaut_behavioral2,utaut_behavioral3,utaut_useintention,Sem_Diff_Ziefle_1,Sem_Diff_Ziefle_2,Sem_Diff_Ziefle_3,Sem_Diff_Ziefle_4,Sem_Diff_Ziefle_5,Sem_Diff_Ziefle_6,Sem_Diff_Ziefle_7,Sem_Diff_Ziefle_8,Sem_Diff_Ziefle_9,Sem_Diff_Ziefle_10,Sem_Diff_Ziefle_11,Sem_Diff_Ziefle_12,Sem_Diff_Ziefle_13,Sem_Diff_Ziefle_14,Sem_Diff_Ziefle_15,Sem_Diff_Ziefle_16,Sem_Diff_Ziefle_17,Sem_Diff_Ziefle_18,Sem_Diff_Ziefle_19,Sem_Diff_Ziefle_20,Sem_Diff_Ziefle_21,Sem_Diff_Ziefle_22,Sem_Diff_Ziefle_23
2024-01-04 15:35:50,2024-01-04 15:49:47,0,2.201.185.20,100,836,1,2024-01-04 15:49:48,R_2fkIsJDeRsrGBv5,,,,,50.9298,6.9489,anonymous,DE,1,35,2,5,1,2,"8,9,10,11",1,1,1,8,7,2,9,5,3,4,6,6,2,5,5,6,6,6,6,2,2,1,2,5,5,5,5,4,5,3,3,5,5,5,5,4,5,5,4,4,4,3,4,4,3,5,3,4,4,4,3,3,4,4,4,5,5,5,5,5,4,4,4,3,3,4,4,3,3,3,4,4,2,3,3
2024-01-04 15:52:01,2024-01-04 16:08:29,0,93.233.196.155,100,987,1,2024-01-04 16:08:30,R_2CAYTEBEYdq9ZdM,,,,,50.7793,6.2154,anonymous,DE,1,52,1,5,1,2,"1,4,5,9,10",1,1,1,8,9,4,6,7,2,3,5,6,1,5,1,4,2,2,2,4,3,3,4,4,4,4,5,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,5,3,5,5,5,5,4,4,4,4,2,2,2,4,4,5,4,5,4,4,1,2,5,5,3,5,4
2024-01-04 16:01:44,2024-01-04 16:10:16,0,37.201.229.227,100,511,1,2024-01-04 16:10:16,R_3dpfEb8V4unXYOt,,,,,51.4511,6.9999,anonymous,DE,1,22,1,5,1,3,10,1,2,3,4,8,6,7,9,2,1,5,6,2,5,2,4,3,2,2,2,2,2,2,4,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,3,3,4,5,4,4,4,4,4,2,3,4,5,4,3,5,4,5,5,4,3,5,5,5,5,3
2024-01-04 16:13:12,2024-01-04 16:19:56,0,95.223.45.127,100,403,1,2024-01-04 16:19:57,R_2EclZEQUFqmd9Gc,,,,,50.7661,6.1395,anonymous,DE,1,25,1,5,1,3,"3,10",1,1,2,6,9,7,8,4,1,3,5,6,1,6,1,6,6,6,6,1,1,1,2,5,5,4,5,6,6,6,6,6,6,6,6,5,5,6,6,6,6,4,4,4,3,6,6,6,6,6,6,7,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,2,4,5,5,4,5,5
2024-01-04 16:32:05,2024-01-04 16:42:38,0,176.198.202.15,100,632,1,2024-01-04 16:42:39,R_61jnWBoJ2vmgRKX,,,,,51.22,6.763,anonymous,DE,1,27,1,5,1,3,"2,3,7,10",1,1,3,9,6,8,7,2,1,4,5,4,5,2,5,4,4,3,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,3,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3
2024-01-04 16:37:01,2024-01-04 16:45:14,0,95.223.45.129,100,493,1,2024-01-04 16:45:14,R_3qvS5ttCHXg6kEA,,,,,50.7932,6.095,anonymous,DE,1,26,1,5,1,3,"4,10",1,1,3,6,7,4,8,5,1,2,9,5,4,3,4,6,6,4,5,1,2,1,1,3,2,2,2,6,5,5,5,5,5,6,6,6,5,5,6,6,5,6,5,5,6,6,6,6,6,5,5,5,5,4,5,5,4,4,4,3,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5
2024-01-04 17:24:49,2024-01-04 17:40:12,0,95.223.44.182,100,923,1,2024-01-04 17:40:13,R_3CgjjjKCxugr2BX,,,,,50.7745,6.0861,anonymous,DE,1,28,1,5,1,3,"2,10",1,1,2,6,9,5,7,1,4,3,8,5,2,4,2,5,5,4,3,3,1,2,2,2,5,2,5,4,3,4,3,6,6,6,6,5,5,5,4,4,4,3,2,2,3,6,6,6,3,1,2,2,3,4,4,4,4,4,3,4,5,4,4,3,4,3,3,3,3,2,3,3,3,3,3
2024-01-04 17:42:45,2024-01-04 17:50:56,0,92.192.196.228,100,490,1,2024-01-04 17:50:57,R_1CkRzuBFu8Su66L,,,,,50.8623,6.9483,anonymous,DE,1,35,2,5,1,2,"2,3,7,9,10",1,1,2,1,6,5,7,8,3,9,4,5,3,4,2,6,6,6,6,1,1,1,1,6,6,5,5,5,5,5,4,6,6,6,6,5,5,5,4,4,4,4,5,5,6,6,6,6,5,4,4,5,5,4,4,4,4,4,4,4,5,3,4,4,5,5,5,5,2,4,4,4,4,4,3
2024-01-04 17:44:35,2024-01-04 17:53:46,0,89.1.59.253,100,551,1,2024-01-04 17:53:47,R_1CKqYIS00v4uj6R,,,,,50.9111,6.9122,anonymous,DE,1,29,2,5,1,3,"2,3,4,10",1,1,3,5,8,6,9,4,1,2,7,5,3,5,2,6,5,4,3,2,2,1,1,5,5,5,5,4,4,4,4,6,6,6,6,5,4,5,6,6,6,4,4,4,5,5,5,5,5,3,5,3,4,5,4,4,4,4,4,5,4,4,2,4,5,5,4,4,2,4,4,4,4,4,4
2024-01-04 17:55:35,2024-01-04 18:11:47,0,80.187.122.128,100,972,1,2024-01-04 18:11:48,R_8P561XRGezguzMB,,,,,51.4444,7.0114,anonymous,DE,1,27,2,4,1,3,"3,10,11",1,1,1,9,7,4,8,3,5,2,6,2,5,1,5,6,6,6,3,1,1,1,1,5,5,5,5,1,2,2,2,5,4,3,4,1,1,4,3,2,2,4,4,2,5,5,5,5,2,2,2,1,4,3,4,4,4,4,2,3,4,4,4,4,4,5,4,3,2,3,1,2,3,1,1
2024-01-04 18:03:25,2024-01-04 18:12:20,0,46.114.108.20,100,534,1,2024-01-04 18:12:21,R_6oYrxzmEOXDsj2u,,,,,50.9446,7.0115,anonymous,DE,1,23,1,4,1,3,10,2,2,9,7,8,4,6,3,2,1,5,4,3,4,3,3,2,2,2,2,2,1,2,4,4,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,5,3,6,6,6,6,6,6,6,7,3,5,5,5,5,5,5,3,3,5,5,3,5,5,5,3,1,1,5,3,5,5,5
2024-01-04 18:39:58,2024-01-04 18:50:29,0,80.187.120.108,100,630,1,2024-01-04 18:50:29,R_2rTGHBRDVipXnfC,,,,,50.9218,6.947,anonymous,DE,1,25,1,4,1,3,"2,3,9,10",2,2,4,7,9,6,8,3,1,2,5,6,2,5,2,5,5,4,5,3,3,2,2,4,5,3,2,5,5,5,4,6,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,5,4,5,5,4,4,4,3,3,4,5,5,4,5,2,5,5,3,4,4,4,4,5,5
2024-01-04 18:42:52,2024-01-04 18:53:11,0,46.114.106.49,100,618,1,2024-01-04 18:53:12,R_6EcHXktSzj50mVz,,,,,50.99,6.964,anonymous,DE,1,28,1,4,1,3,"2,3,4,5,9,10,11",1,2,2,8,7,6,9,5,1,3,4,6,2,5,1,4,3,2,4,2,2,2,2,2,2,3,4,6,6,6,5,5,5,5,5,5,5,6,6,6,5,5,6,5,6,6,6,6,6,6,6,7,5,5,4,4,3,5,3,4,4,5,5,5,5,5,4,4,2,4,5,5,4,5,4
2024-01-04 18:29:39,2024-01-04 19:58:23,0,89.0.3.183,100,5324,1,2024-01-04 19:58:24,R_21nC3qzZO1yi6a5,,,,,50.9475,6.9288,anonymous,DE,1,25,1,5,1,2,"3,7,8,10",1,1,1,8,7,5,9,6,2,3,4,6,1,6,1,3,4,4,1,2,1,2,1,4,6,2,5,2,2,2,3,5,4,5,5,3,5,3,4,3,4,5,4,4,4,1,2,3,4,2,4,2,4,5,4,2,2,1,5,2,4,3,4,1,2,5,5,3,2,3,4,5,1,2,1
2024-01-04 20:16:28,2024-01-04 20:26:36,0,95.223.45.152,100,607,1,2024-01-04 20:26:37,R_2TqhewEQ7deM0Jr,,,,,50.7599,6.0953,anonymous,DE,1,27,2,5,1,3,10,1,1,2,6,9,1,7,8,3,4,5,6,2,4,2,6,5,4,6,1,1,1,1,4,4,4,3,5,6,6,5,6,6,6,6,6,5,5,6,5,5,6,6,6,6,6,5,5,6,6,6,7,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,4,1,5,5,5,5,5,5
2024-01-04 13:46:53,2024-01-04 20:32:37,0,89.0.3.127,100,24344,1,2024-01-04 20:32:38,R_6UhzZFsIZXBoBvN,,,,,50.9475,6.9288,anonymous,DE,1,42,1,5,1,3,"2,3,5",1,2,5,6,9,3,1,8,4,2,7,6,2,5,1,2,1,1,1,3,5,4,4,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,2,3,5,5,5,4,5,4,4,3,4,3,5,4,4,5,4,4,3,4,4,4,5,4,3
2024-01-04 22:29:02,2024-01-04 22:39:43,0,89.176.178.70,100,640,1,2024-01-04 22:39:43,R_8LvrBAs5arv2EoX,,,,,50.0883,14.4124,anonymous,DE,1,26,2,5,1,3,"3,10",2,2,9,8,7,3,6,4,1,2,5,6,2,4,3,4,4,3,3,2,2,1,2,5,5,5,5,6,6,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,4,6,6,6,7,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,2,3,5,5,5,5,4
2024-01-05 00:12:31,2024-01-05 00:28:59,0,176.94.244.204,100,987,1,2024-01-05 00:29:00,R_5PYlNC0NLXvAOOr,,,,,52.5046,13.3029,anonymous,DE,1,21,2,4,1,3,"1,3,8,10,11",2,2,5,7,9,3,4,8,1,2,6,5,4,4,2,5,5,5,6,2,1,1,1,5,5,2,5,6,6,6,4,5,6,4,4,5,5,6,5,5,5,2,4,3,5,5,3,3,6,5,5,5,5,4,4,4,5,4,5,5,4,5,5,4,4,5,5,2,2,2,5,4,4,4,4
2024-01-05 08:37:52,2024-01-05 08:48:53,0,83.135.243.208,100,661,1,2024-01-05 08:48:53,R_3cr8KcWlJMrT2QF,,,,,50.8178,6.2776,anonymous,DE,1,59,2,5,1,3,"1,2,5,9",1,1,1,8,3,2,7,9,4,6,5,6,2,5,2,4,4,3,2,4,3,3,3,3,4,2,3,3,3,3,2,5,5,5,5,5,5,5,4,4,4,4,5,4,2,4,4,5,3,3,3,2,2,2,3,3,2,5,4,4,4,4,4,3,5,4,2,2,4,4,5,3,3,3,3
2024-01-05 08:57:30,2024-01-05 09:12:49,0,89.0.92.172,100,919,1,2024-01-05 09:12:51,R_4h0dJlVHJDhf3LZ,,,,,50.9217,6.9951,anonymous,DE,1,59,2,4,1,3,"3,4,11",1,2,5,7,6,4,1,8,2,9,3,6,2,5,2,3,4,1,1,4,4,4,2,2,3,3,5,2,2,2,2,5,5,5,5,2,2,2,5,5,5,2,2,2,5,5,5,5,2,2,2,3,3,4,4,4,3,3,5,2,2,3,4,4,2,1,5,5,1,3,2,3,4,3,5
2024-01-05 10:00:01,2024-01-05 10:14:51,0,83.135.243.197,100,890,1,2024-01-05 10:14:53,R_1YNSJeySTbFbo6l,,,,,50.7793,6.2154,anonymous,DE,1,55,1,5,1,3,"2,3,4,5,7",1,1,3,9,8,7,1,5,4,2,6,5,1,5,1,4,4,3,4,4,4,4,4,4,3,3,3,5,5,5,4,5,4,4,4,6,6,6,4,6,6,6,6,6,6,5,4,5,6,5,5,5,4,4,5,5,4,2,2,3,3,3,5,5,5,5,5,4,5,5,5,5,5,5,3
2024-01-05 10:15:33,2024-01-05 10:25:04,0,83.135.243.206,100,570,1,2024-01-05 10:25:05,R_7aOFDFI5fZsQ3vP,,,,,50.8178,6.2776,anonymous,DE,1,21,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-05 10:26:38,2024-01-05 10:38:28,0,134.61.145.22,100,709,1,2024-01-05 10:38:29,R_5rwGsYHSSpTl9QK,,,,,50.7745,6.0861,anonymous,DE,1,25,1,5,1,3,"3,10",1,1,3,6,9,4,8,7,2,1,5,6,1,5,2,5,4,4,4,2,1,1,1,4,3,3,5,6,5,6,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,6,4,4,6,4,5,3,5,4,4,5,5,4,4,4,3,3,4,4,5,5,5,4,2,3,5,5,5,5,3
2024-01-05 11:19:11,2024-01-05 11:24:40,0,95.223.44.150,100,328,1,2024-01-05 11:24:41,R_5D6JuFr2ndm0zce,,,,,50.7661,6.1395,anonymous,DE,1,33,1,5,1,3,"2,4",1,1,1,5,6,4,7,8,2,3,9,6,2,2,2,5,5,2,2,2,2,1,1,4,5,2,3,4,3,3,2,4,4,4,4,2,2,2,3,3,3,4,4,4,5,5,4,4,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024-01-05 13:30:54,2024-01-05 13:37:19,0,134.130.224.24,100,384,1,2024-01-05 13:37:20,R_717BOguEoAmmZX7,,,,,50.8063,6.0584,anonymous,DE,1,26,2,5,1,3,"2,7,8,10",1,1,1,7,8,6,9,2,3,4,5,5,2,5,2,6,1,6,6,1,1,1,1,4,4,4,5,5,5,6,6,5,5,5,5,6,6,6,5,5,5,5,4,4,6,5,5,4,5,6,6,6,5,5,5,4,4,5,4,4,4,4,5,5,4,5,5,5,2,4,4,5,4,5,5
2024-01-05 13:22:11,2024-01-05 13:45:38,0,83.135.243.184,100,1406,1,2024-01-05 13:45:38,R_3B9lUJsx8HMGxK9,,,,,50.7793,6.2154,anonymous,DE,1,64,2,5,1,3,"1,2,3",1,1,1,9,7,6,2,8,3,5,4,6,2,5,2,6,5,4,4,4,3,2,3,4,5,4,2,6,6,6,5,6,5,5,5,4,2,5,5,5,4,2,3,3,4,5,5,5,5,5,4,4,5,5,5,5,5,5,3,5,5,5,3,5,5,3,3,5,3,3,3,5,3,4,3
2024-01-05 13:44:51,2024-01-05 13:45:47,0,93.217.177.137,100,55,1,2024-01-05 13:45:47,R_2Uf5ARBGnzwNGfp,,,,,51.22,6.763,anonymous,DE,1,25,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-05 13:38:50,2024-01-05 13:46:46,0,134.130.225.83,100,476,1,2024-01-05 13:46:47,R_4q3rdMvjtMGNicH,,,,,50.7745,6.0861,anonymous,DE,1,27,2,5,1,3,"1,3,4,10",1,1,4,6,9,2,7,8,1,3,5,6,2,4,1,6,6,4,4,2,1,2,1,6,5,3,5,6,6,5,2,5,5,5,5,5,5,5,4,4,6,1,1,1,5,5,4,5,5,5,5,5,4,4,5,2,2,2,1,3,2,2,4,4,5,5,5,4,1,4,4,5,3,4,4
2024-01-05 13:45:53,2024-01-05 13:54:59,0,93.217.177.137,100,546,1,2024-01-05 13:55:00,R_85Xy57ToBScCdof,,,,,51.2459,6.7989,anonymous,DE,1,25,1,5,1,2,"1,3,10",1,1,1,9,6,4,8,7,3,2,5,3,1,3,3,3,2,2,1,5,4,3,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,4,1,1,1,4,1,2,4,4,4,4,4,4,5,1,5,4,1,5,4,5
2024-01-05 13:46:02,2024-01-05 13:56:03,0,95.223.44.81,100,601,1,2024-01-05 13:56:04,R_2fTMRACIiUaOPj3,,,,,50.7661,6.1395,anonymous,DE,1,31,1,5,1,3,"1,2,3,4,10",1,1,1,9,8,2,7,4,3,5,6,5,2,2,4,4,4,2,2,2,3,2,2,3,4,4,4,4,4,4,2,5,4,4,4,5,4,4,4,3,4,3,3,3,5,5,5,4,4,2,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,2
2024-01-05 13:40:08,2024-01-05 13:58:53,0,92.200.177.211,100,1124,1,2024-01-05 13:58:53,R_7gzpc9nyAysO8b6,,,,,50.8693,6.8728,anonymous,DE,1,61,2,4,1,2,"1,4",1,1,7,1,2,6,8,9,4,3,5,5,2,4,2,5,5,5,4,2,2,2,2,2,5,5,5,5,4,5,4,5,5,5,5,4,4,4,6,6,6,4,5,5,5,4,5,4,5,5,5,3,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,1,4,5,4,3,3,3
2024-01-05 14:06:31,2024-01-05 14:15:46,0,89.1.213.55,100,555,1,2024-01-05 14:15:47,R_8v8NRXJ08iNX0lS,,,,,50.9475,6.9288,anonymous,DE,1,23,2,4,1,3,"2,3,7,8,10",1,2,5,8,9,3,6,4,1,2,7,5,3,2,4,5,6,5,4,2,2,1,1,6,6,4,5,5,5,5,5,6,6,6,5,5,5,5,4,5,4,5,5,6,6,5,5,5,6,5,5,5,5,5,4,4,4,4,5,3,4,3,4,5,5,5,5,4,2,5,5,5,4,4,3
2024-01-05 14:38:45,2024-01-05 14:46:27,0,95.223.44.25,100,461,1,2024-01-05 14:46:28,R_3Bex5vT4DSQuaCk,,,,,50.7745,6.0861,anonymous,DE,1,23,1,5,1,3,"3,10",1,1,6,1,7,3,9,5,2,4,8,5,1,4,1,5,4,4,3,2,2,2,2,4,5,4,5,5,5,5,3,5,5,5,5,4,5,6,4,4,3,3,3,3,4,5,3,3,6,4,5,5,5,5,5,5,3,3,3,4,4,5,4,3,4,5,5,3,3,2,5,5,4,5,5
2024-01-05 14:48:43,2024-01-05 14:56:54,0,95.223.44.25,100,490,1,2024-01-05 14:56:55,R_4zUxy7W053sRTD6,,,,,50.7661,6.1395,anonymous,DE,1,58,2,2,1,1,"1,3,4,5,9",1,1,1,8,6,3,2,9,4,5,7,4,4,3,5,2,2,2,1,5,6,4,6,2,2,3,3,4,3,3,2,3,2,3,3,3,5,4,3,3,3,4,4,4,6,2,1,3,3,2,2,1,4,3,3,2,2,2,3,2,3,3,4,3,4,5,4,4,1,4,4,4,4,4,3
2024-01-05 15:07:07,2024-01-05 15:17:49,0,177.40.7.83,100,641,1,2024-01-05 15:17:50,R_1PZbbMdfRPn6R0q,,,,,-25.5026,-49.2908,anonymous,DE,1,26,2,5,1,3,"1,2,3,4,9",1,1,1,8,6,5,9,2,4,3,7,3,5,2,5,6,6,5,4,1,1,1,1,3,3,3,3,2,2,3,2,6,6,6,6,2,2,3,5,5,5,5,5,5,6,6,5,5,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4
2024-01-05 17:10:58,2024-01-05 17:17:15,0,80.187.121.52,100,377,1,2024-01-05 17:17:16,R_2mlR2elgMvTC4zV,,,,,50.7617,7.0512,anonymous,DE,1,25,1,5,1,3,2,1,2,4,8,5,3,6,7,2,1,9,5,2,5,2,5,4,3,5,3,3,2,2,4,5,3,3,4,4,4,4,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,5,2,5,3,5,5,5,5,4,3,5,5,1,4,3,4,4,4,2,3,2,2
2024-01-05 17:43:05,2024-01-05 18:09:11,0,62.155.194.208,100,1565,1,2024-01-05 18:09:12,R_4EZ6uGAnN76Y6aC,,,,,50.7599,6.0953,anonymous,DE,1,48,2,3,1,3,8,2,2,3,6,9,5,8,7,1,2,4,6,1,6,2,5,5,3,3,3,2,2,2,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,6,6,6,3,4,4,6,5,4,4,6,6,6,3,5,5,4,4,4,4,4,5,4,3,4,4,5,5,3,3,1,3,4,4,4,4,5
2024-01-05 17:45:30,2024-01-05 18:14:58,0,62.155.194.208,100,1768,1,2024-01-05 18:14:59,R_2tK9Dnd0WuPhrtn,,,,,50.7745,6.0861,anonymous,DE,1,38,1,5,1,3,"2,11",2,2,3,8,5,6,7,9,1,2,4,6,2,2,1,4,3,4,2,2,2,4,1,6,6,6,6,5,4,6,4,4,3,3,4,4,5,4,5,4,3,5,4,5,4,4,5,4,4,4,3,3,5,5,4,3,4,4,3,1,3,1,1,1,5,4,5,5,4,5,5,5,5,5,5
2024-01-05 22:19:58,2024-01-05 22:29:37,0,95.223.44.91,100,579,1,2024-01-05 22:29:38,R_5IYjBvTx4p3O0Rr,,,,,50.7661,6.1395,anonymous,DE,1,23,2,3,1,3,6,2,2,6,7,8,2,9,1,3,4,5,6,3,4,3,2,3,4,5,4,6,2,5,2,5,2,3,3,6,4,5,1,3,6,4,1,3,4,1,2,6,5,6,2,4,1,6,5,4,3,1,6,3,5,5,5,5,5,5,5,3,5,5,3,5,5,4,3,5,5,5,5,5,5,5
2024-01-06 12:36:11,2024-01-06 12:52:21,0,92.192.186.128,100,970,1,2024-01-06 12:52:22,R_2T6ImyKoDMLhOr7,,,,,50.9532,6.8274,anonymous,DE,1,64,2,4,1,2,"1,4,5",1,1,1,7,8,6,2,9,4,3,5,6,2,5,1,5,5,4,3,3,3,3,3,4,5,4,5,6,6,6,4,6,6,6,6,5,5,5,6,6,6,5,5,5,5,6,6,5,6,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4
2024-01-06 13:52:17,2024-01-06 14:10:50,0,79.194.171.48,100,1113,1,2024-01-06 14:10:51,R_2dBkD5eiMVnE8Ts,,,,,50.7688,6.0758,anonymous,DE,1,36,1,5,1,1,"2,3,4,7,11",1,2,2,5,9,7,4,8,1,6,3,5,2,3,5,4,4,2,2,4,4,3,4,2,4,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,7,5,5,1,5,3,4,3,3,4,5,5,5,5,5,5,3,1,4,5,5,5,5,5
2024-01-06 15:25:46,2024-01-06 15:33:18,0,89.1.212.2,100,451,1,2024-01-06 15:33:19,R_3yeWFK17ZXI4B6i,,,,,50.9111,6.9122,anonymous,DE,1,22,1,5,1,3,"10,11",1,2,3,4,5,6,7,8,2,1,9,5,3,4,2,4,4,4,4,2,2,1,2,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,3,3,3,3,4,3,5,5,5,4,5,3,5,4,5,4,2,5,3,5,4,3,4,3,3,5,5,5,4,4,1,3,4,4,4,5,3
2024-01-06 19:34:56,2024-01-06 19:50:46,0,93.131.146.61,100,949,1,2024-01-06 19:50:47,R_5yFKyaceLWAX8TD,,,,,51.4213,7.0188,anonymous,DE,1,49,1,4,1,3,"4,5",1,1,1,5,6,7,8,9,3,2,4,3,3,3,2,3,3,2,2,2,2,2,2,4,4,2,2,6,5,5,4,5,5,5,5,5,3,4,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,3,5,5,3,5,5,4,3,3,3,3,2,3,3,3,3,3
2024-01-06 20:40:27,2024-01-06 20:46:48,0,2.202.10.138,100,381,1,2024-01-06 20:46:49,R_28Fr7XkBCtaSITL,,,,,50.7688,6.0758,anonymous,DE,1,28,2,5,1,3,"2,3,8,10,11",1,1,8,2,5,4,1,7,3,6,9,6,6,3,2,6,6,3,5,1,1,1,1,6,6,2,6,1,1,1,1,6,5,2,6,1,1,1,5,3,2,4,4,4,6,6,6,6,3,2,2,2,2,4,4,4,2,4,4,3,3,4,4,3,4,5,4,4,3,3,3,4,4,3,2
2024-01-06 20:45:00,2024-01-06 20:53:34,0,93.133.16.212,100,514,1,2024-01-06 20:53:35,R_6ociwmI2LHk7FnW,,,,,51.2402,6.7785,anonymous,DE,1,24,1,5,1,3,"3,4,10",1,1,1,9,5,3,6,7,2,4,8,6,3,5,2,5,5,3,3,1,1,2,1,6,6,3,4,6,5,6,3,6,6,6,5,5,6,6,3,4,3,5,6,6,6,6,5,6,6,4,6,5,5,4,4,5,4,4,5,2,4,3,4,4,5,5,5,2,1,4,3,4,4,5,2
2024-01-07 19:29:36,2024-01-07 19:40:26,0,95.223.45.36,100,650,1,2024-01-07 19:40:27,R_7jYPtOVGyOHKDCN,,,,,50.7803,6.108,anonymous,DE,1,28,1,5,1,3,"1,2,3,9,10",1,2,3,7,8,9,6,5,1,2,4,6,1,5,1,6,6,4,4,1,2,1,1,6,6,5,5,5,5,5,3,6,4,5,5,4,5,3,5,6,4,2,3,2,6,6,5,4,5,4,4,3,4,5,5,4,2,2,4,3,4,4,5,5,5,5,5,2,2,2,5,5,4,5,4
2024-01-07 20:08:47,2024-01-07 20:15:54,0,87.164.225.40,100,426,1,2024-01-07 20:15:55,R_7k65IzJtuXs5osx,,,,,50.9214,6.3637,anonymous,DE,1,32,2,5,1,4,"2,3,4,5",1,1,1,6,9,4,7,8,3,2,5,3,6,2,6,6,6,6,6,1,1,1,1,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,3,4,4,6,6,6,6,6,5,5,6,4,4,3,4,4,4,2,4,3,3,3,4,3,5,4,2,4,4,2,2,2,3,3
2024-01-07 20:06:10,2024-01-07 20:23:46,0,95.223.45.36,100,1056,1,2024-01-07 20:23:47,R_8lkyyEVzYmHtH9v,,,,,50.7745,6.0861,anonymous,DE,1,31,2,4,1,3,"3,9,10",1,2,6,9,8,1,2,5,4,3,7,5,2,4,2,5,4,3,3,1,1,1,1,4,5,4,2,3,1,2,1,5,5,5,5,2,2,4,3,3,3,2,2,2,6,6,6,3,3,2,2,2,4,3,4,3,3,3,3,3,2,3,4,4,4,4,3,3,3,1,2,3,3,1,3
2024-01-07 20:42:08,2024-01-07 20:48:50,0,37.201.137.222,100,402,1,2024-01-07 20:48:51,R_2FmprtS3ovwHFTe,,,,,50.7661,6.1395,anonymous,DE,1,32,2,5,1,3,"1,2,3,4,6,8,9,10",1,1,3,6,5,1,7,9,4,2,8,6,1,5,5,5,5,4,2,1,1,1,1,1,6,5,5,3,2,3,3,6,5,5,5,2,3,2,4,4,4,4,4,4,5,5,3,5,2,4,2,2,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,2,3,4,4,4,4,2
2024-01-08 14:48:30,2024-01-08 14:54:27,0,134.61.96.112,100,357,1,2024-01-08 14:54:28,R_8QH40cSUAoO9yR5,,,,,50.7745,6.0861,anonymous,DE,1,29,1,5,1,3,"3,9,11",1,2,5,6,7,3,8,9,1,2,4,6,1,5,1,4,4,2,3,1,2,2,2,5,5,4,5,3,4,4,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024-01-08 19:43:04,2024-01-08 19:52:06,0,137.226.156.100,100,541,1,2024-01-08 19:52:06,R_8Lps9q0ZwsJnRLP,,,,,50.7745,6.0861,anonymous,DE,1,31,2,5,1,3,"2,11",2,2,8,9,7,1,5,6,3,2,4,5,2,5,2,3,3,1,1,3,2,3,2,3,5,3,4,1,1,1,1,5,5,3,3,1,1,1,4,4,4,3,3,3,6,6,4,5,1,1,1,1,1,3,4,1,2,3,2,3,5,5,3,2,3,5,3,1,1,3,1,3,3,1,1
