variable;variable_old;item;text;info
Progress;Progress;NA;Aktueller Stand;"{""ImportId"":""progress""}"
Duration (in seconds);Duration (in seconds);NA;Dauer (in Sekunden);"{""ImportId"":""duration""}"
ResponseId;ResponseId;NA;Antwort-ID;"{""ImportId"":""_recordId""}"
participation;participation;NA;Bitte treffen Sie eine Wahl;"{""ImportId"":""QID96""}"
age;age;NA;Bitte geben Sie Ihr Alter in Jahren an.;"{""ImportId"":""QID1_TEXT""}"
gender;gender;NA;Welchem Geschlecht fühlen Sie sich zugehörig?;"{""ImportId"":""QID2""}"
education;education;NA;Bitte geben Sie Ihren höchsten Bildungsabschluss an.;"{""ImportId"":""QID3""}"
livesinaachen;livesinaachen;NA;Wohnen oder arbeiten Sie in der Städteregion Aachen?;"{""ImportId"":""QID87""}"
region;region;NA;Bitte geben Sie Ihre Wohnlage an.;"{""ImportId"":""QID4""}"
media channels;media channels;NA;Bitte geben Sie an, auf welchen Wegen Sie sich über Neuigkeiten aus der Städteregion Aachen informieren (Mehrfachantworten möglich).;"{""ImportId"":""QID99""}"
license;license;NA;Besitzen Sie einen KFZ-Führerschein?;"{""ImportId"":""QID30""}"
own_vehicle;own_vehicle;NA;Besitzen Sie ein eigenes Fahrzeug?;"{""ImportId"":""QID31""}"
preferences_mobility_1;preferences_mobility_1;Auto;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Auto;"{""ImportId"":""QID32_1""}"
preferences_mobility_2;preferences_mobility_2;E-Auto;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - E-Auto;"{""ImportId"":""QID32_2""}"
preferences_mobility_3;preferences_mobility_3;Roller/Mofa/Motorrad;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Roller/Mofa/Motorrad;"{""ImportId"":""QID32_3""}"
preferences_mobility_4;preferences_mobility_4;Fahrrad;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Fahrrad;"{""ImportId"":""QID32_4""}"
preferences_mobility_5;preferences_mobility_5;E-Fahrrad;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - E-Fahrrad;"{""ImportId"":""QID32_5""}"
preferences_mobility_6;preferences_mobility_6;E-Roller;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - E-Roller;"{""ImportId"":""QID32_6""}"
preferences_mobility_7;preferences_mobility_7;Bus;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Bus;"{""ImportId"":""QID32_7""}"
preferences_mobility_8;preferences_mobility_8;Bahn (S-Bahn, Regionalbahn, Fernverkehr);Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Bahn (S-Bahn, Regionalbahn, Fernverkehr);"{""ImportId"":""QID32_8""}"
preferences_mobility_9;preferences_mobility_9;Taxi;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Taxi;"{""ImportId"":""QID32_9""}"
driving_climate_1;driving_climate_1;Der ansteigende Autoverkehr ist ein großes Problem für den Umweltschutz.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der ansteigende Autoverkehr ist ein großes Problem für den Umweltschutz.;"{""ImportId"":""QID97_1""}"
driving_climate_2;driving_climate_2;Der Anteil des Autoverkehrs an der Umweltzerstörung wird von den Medien unnötig hochgespielt.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Anteil des Autoverkehrs an der Umweltzerstörung wird von den Medien unnötig hochgespielt.;"{""ImportId"":""QID97_2""}"
driving_climate_3;driving_climate_3;Ich mache mir Sorgen, wenn ich an die Umweltzerstörung durch das Autofahren denke.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Ich mache mir Sorgen, wenn ich an die Umweltzerstörung durch das Autofahren denke.;"{""ImportId"":""QID97_3""}"
driving_climate_4;driving_climate_4;Der Autoverkehr bereitet mir hinsichtlich der möglichen Umweltauswirkungen keine ernsthaften Sorgen.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Autoverkehr bereitet mir hinsichtlich der möglichen Umweltauswirkungen keine ernsthaften Sorgen.;"{""ImportId"":""QID97_4""}"
technology_curios;technology_curios;NA;Hinsichtlich technischer Neuentwicklungen bin ich sehr neugierig.;"{""ImportId"":""QID35""}"
technology_favor;technology_favor;NA;Ich finde schnell Gefallen an technischen Neuentwicklungen.;"{""ImportId"":""QID36""}"
technology_new;technology_new;NA;Ich bin stets daran interessiert, die neuesten technischen Geräte zu verwenden.;"{""ImportId"":""QID37""}"
technology_moreoften;technology_moreoften;NA;Wenn ich Gelegenheit dazu hätte, würde ich noch viel häufiger technische Produkte nutzen als ich das gegenwärtig tue.;"{""ImportId"":""QID38""}"
technology_scared;technology_scared;NA;Im Umgang mit moderner Technik habe ich oft Angst, zu versagen.;"{""ImportId"":""QID39""}"
technology_overload;technology_overload;NA;Für mich stellt der Umgang mit technischen Neuerungen zumeist eine Überforderung dar.;"{""ImportId"":""QID40""}"
technology_destroy;technology_destroy;NA;Ich habe Angst, technische Neuentwicklungen eher kaputt zu machen als dass ich sie richtig benutze.;"{""ImportId"":""QID41""}"
technology_complex;technology_complex;ich kann das meistens einfach nicht.;Den Umgang mit neuer Technik finde ich schwierig - ich kann das meistens einfach nicht.;"{""ImportId"":""QID42""}"
technology_succesful;technology_succesful;NA;Ob ich erfolgreich in der Anwendung moderner Technik bin, hängt im Wesentlichen von mir ab.;"{""ImportId"":""QID43""}"
technology_me;technology_me;mit Zufall oder Glück hat das wenig zu tun.;Es liegt in meiner Hand, ob mir die Nutzung technischher Neuentwicklungen gelingt - mit Zufall oder Glück hat das wenig zu tun.;"{""ImportId"":""QID44""}"
technology_solution;technology_solution;NA;Wenn ich im Umgang mit Technik Schwierigkeiten habe, hängt es schlussendlich allein von mir ab, dass ich sie löse.;"{""ImportId"":""QID45""}"
technology_happening;technology_happening;NA;Das, was passiert, wenn ich mich mit technischen Neuentwicklungen beschäftige, obliegt letztlich meiner Kontrolle.;"{""ImportId"":""QID46""}"
utaut_performance1;utaut_performance1;NA;Ich empfinde den upBUS in meinem Alltag als nützlich.;"{""ImportId"":""QID100""}"
utaut_performance2;utaut_performance2;NA;Die Nutzung des upBUS erhöht meine Chancen, Dinge zu erreichen, die mir wichtig sind.;"{""ImportId"":""QID101""}"
utaut_performance3;utaut_performance3;NA;Die Nutzung des upBUS hilft mir dabei, Dinge schneller zu erreichen.;"{""ImportId"":""QID102""}"
utaut_performance 4;utaut_performance 4;NA;Die Nutzung des upBUS erhöht meine Produktivität.;"{""ImportId"":""QID103""}"
utaut_effort1;utaut_effort1;NA;Zu lernen, wie man den upBUS nutzt, ist einfach für mich.;"{""ImportId"":""QID108""}"
utaut_effort2;utaut_effort2;NA;Meine Interaktion mit dem upBUS ist klar und verständlich.;"{""ImportId"":""QID109""}"
utaut_effort3;utaut_effort3;NA;Ich finde, der upBUS ist einfach zu benutzen.;"{""ImportId"":""QID110""}"
utaut_effort4;utaut_effort4;NA;Es ist einfach für mich, geübt im Nutzen des upBUS zu werden.;"{""ImportId"":""QID111""}"
utaut_social1;utaut_social1;NA;Personen, die mir wichtig sind, würden denken, ich sollte den upBUS nutzen.;"{""ImportId"":""QID113""}"
utaut_social2;utaut_social2;NA;Personen, die mein Verhalten beeinflussen, würden denken, ich sollte den upBUS nutzen.;"{""ImportId"":""QID114""}"
utaut_social3;utaut_social3;NA;Personen, deren Meinung ich schätze, würden befürworten, dass ich den upBUS nutze.;"{""ImportId"":""QID115""}"
utaut_hedonic1;utaut_hedonic1;NA;Den upBUS zu nutzen, macht Spaß.;"{""ImportId"":""QID117""}"
utaut_hedonic2;utaut_hedonic2;NA;Den upBUS zu nutzen, ist vergnüglich.;"{""ImportId"":""QID118""}"
utaut_hedonic3;utaut_hedonic3;NA;Den upBUS zu nutzen, ist sehr unterhaltsam.;"{""ImportId"":""QID119""}"
utaut_pricevalue1;utaut_pricevalue1;NA;Der upBUS ist preisgünstig.;"{""ImportId"":""QID121""}"
utaut_pricevalue2;utaut_pricevalue2;NA;Der upBUS bietet einen guten Nutzen für das Geld.;"{""ImportId"":""QID122""}"
utaut_pricevalue3;utaut_pricevalue3;NA;Zum angegebenen Preis bietet der upBUS einen guten Nutzen.;"{""ImportId"":""QID123""}"
utaut_fascilitating1;utaut_fascilitating1;NA;Ich habe die notwendigen Ressourcen, um den upBUS zu nutzen.;"{""ImportId"":""QID125""}"
utaut_fascilitating2;utaut_fascilitating2;NA;Ich habe das notwendige Wissen, um den upBUS zu nutzen.;"{""ImportId"":""QID126""}"
utaut_fascilitating3;utaut_fascilitating3;NA;Der upBUS ist kompatibel mit anderen von mir benutzten Technologien und Anwendungen.;"{""ImportId"":""QID127""}"
utaut_fascilitating4;utaut_fascilitating4;NA;Ich kann Hilfe von anderen bekommen, wenn ich Schwierigkeiten beim Nutzen des upBUS habe.;"{""ImportId"":""QID128""}"
utaut_behavioral1;utaut_behavioral1;NA;Ich würde beabsichtigen, den upBUS in der Zukunft zu nutzen.;"{""ImportId"":""QID130""}"
utaut_behavioral2;utaut_behavioral2;NA;Ich würde im Alltag immer versuchen, den upBUS zu nutzen.;"{""ImportId"":""QID131""}"
utaut_behavioral3;utaut_behavioral3;NA;Ich hätte vor, regelmäßig den upBUS zu nutzen.;"{""ImportId"":""QID132""}"
utaut_useintention;utaut_useintention;NA;Bitte wählen Sie Ihre beabsichtigte Nutzungshäufigkeit des upBUS aus:;"{""ImportId"":""QID92""}"
Sem_Diff_Ziefle_1;Sem_Diff_Ziefle_1;nicht verkehrstauglich:verkehrstauglich;Ich finde den upBUS... - nicht verkehrstauglich:verkehrstauglich;"{""ImportId"":""QID93_1""}"
Sem_Diff_Ziefle_2;Sem_Diff_Ziefle_2;feindlich:freundlich;Ich finde den upBUS... - feindlich:freundlich;"{""ImportId"":""QID93_2""}"
Sem_Diff_Ziefle_3;Sem_Diff_Ziefle_3;unübersichtlich:übersichtlich;Ich finde den upBUS... - unübersichtlich:übersichtlich;"{""ImportId"":""QID93_3""}"
Sem_Diff_Ziefle_4;Sem_Diff_Ziefle_4;nicht vertraunswürdig:vertrauenswürdig;Ich finde den upBUS... - nicht vertraunswürdig:vertrauenswürdig;"{""ImportId"":""QID93_4""}"
Sem_Diff_Ziefle_5;Sem_Diff_Ziefle_5;riskant:berechenbar;Ich finde den upBUS... - riskant:berechenbar;"{""ImportId"":""QID93_5""}"
Sem_Diff_Ziefle_6;Sem_Diff_Ziefle_6;unkontrollierbar:kontrollierbar;Ich finde den upBUS... - unkontrollierbar:kontrollierbar;"{""ImportId"":""QID93_6""}"
Sem_Diff_Ziefle_7;Sem_Diff_Ziefle_7;angreifbar:beschützt;Ich finde den upBUS... - angreifbar:beschützt;"{""ImportId"":""QID93_7""}"
Sem_Diff_Ziefle_8;Sem_Diff_Ziefle_8;beängstigend:beruhigend;Ich finde den upBUS... - beängstigend:beruhigend;"{""ImportId"":""QID93_8""}"
Sem_Diff_Ziefle_9;Sem_Diff_Ziefle_9;spionierend:abgeschirmt;Ich finde den upBUS... - spionierend:abgeschirmt;"{""ImportId"":""QID93_9""}"
Sem_Diff_Ziefle_10;Sem_Diff_Ziefle_10;datenunsicher:datensicher;Ich finde den upBUS... - datenunsicher:datensicher;"{""ImportId"":""QID93_10""}"
Sem_Diff_Ziefle_11;Sem_Diff_Ziefle_11;unbequem:bequem;Ich finde den upBUS... - unbequem:bequem;"{""ImportId"":""QID93_11""}"
Sem_Diff_Ziefle_12;Sem_Diff_Ziefle_12;zeitaufwendig:zeitsparend;Ich finde den upBUS... - zeitaufwendig:zeitsparend;"{""ImportId"":""QID93_12""}"
Sem_Diff_Ziefle_13;Sem_Diff_Ziefle_13;stressig im Straßenverkehr:entspannend im Straßenverkehr;Ich finde den upBUS... - stressig im Straßenverkehr:entspannend im Straßenverkehr;"{""ImportId"":""QID93_13""}"
Sem_Diff_Ziefle_14;Sem_Diff_Ziefle_14;traditionell:neuartig;Ich finde den upBUS... - traditionell:neuartig;"{""ImportId"":""QID93_14""}"
Sem_Diff_Ziefle_15;Sem_Diff_Ziefle_15;langweilig:faszinierend;Ich finde den upBUS... - langweilig:faszinierend;"{""ImportId"":""QID93_15""}"
Sem_Diff_Ziefle_16;Sem_Diff_Ziefle_16;sperrig:elegant;Ich finde den upBUS... - sperrig:elegant;"{""ImportId"":""QID93_16""}"
Sem_Diff_Ziefle_17;Sem_Diff_Ziefle_17;ungewohnt:gewohnt;Ich finde den upBUS... - ungewohnt:gewohnt;"{""ImportId"":""QID93_17""}"
Sem_Diff_Ziefle_18;Sem_Diff_Ziefle_18;teuer:erschwinglich;Ich finde den upBUS... - teuer:erschwinglich;"{""ImportId"":""QID93_18""}"
Sem_Diff_Ziefle_19;Sem_Diff_Ziefle_19;kurzlebig:nachhaltig;Ich finde den upBUS... - kurzlebig:nachhaltig;"{""ImportId"":""QID93_19""}"
Sem_Diff_Ziefle_20;Sem_Diff_Ziefle_20;umweltschädlich:umweltfreundlich;Ich finde den upBUS... - umweltschädlich:umweltfreundlich;"{""ImportId"":""QID93_20""}"
Sem_Diff_Ziefle_21;Sem_Diff_Ziefle_21;schlecht angebunden:gut angebunden;Ich finde den upBUS... - schlecht angebunden:gut angebunden;"{""ImportId"":""QID93_21""}"
Sem_Diff_Ziefle_22;Sem_Diff_Ziefle_22;ineffizient:effizient;Ich finde den upBUS... - ineffizient:effizient;"{""ImportId"":""QID93_22""}"
Sem_Diff_Ziefle_23;Sem_Diff_Ziefle_23;unflexibel:flexibel;Ich finde den upBUS... - unflexibel:flexibel;"{""ImportId"":""QID93_23""}"
