"","Progress","Duration (in seconds)","ResponseId","participation","age","gender","education","livesinaachen","region","media channels","license","own_vehicle","preferences_mobility_1","preferences_mobility_2","preferences_mobility_3","preferences_mobility_4","preferences_mobility_5","preferences_mobility_6","preferences_mobility_7","preferences_mobility_8","preferences_mobility_9","driving_climate_1","driving_climate_2_n","driving_climate_3","driving_climate_4_n","technology_curios","technology_favor","technology_new","technology_moreoften","technology_scared_n","technology_overload_n","technology_destroy","technology_complex","technology_succesful","technology_me","technology_solution","technology_happening","utaut_performance1","utaut_performance2","utaut_performance3","utaut_performance 4","utaut_effort1","utaut_effort2","utaut_effort3","utaut_effort4","utaut_social1","utaut_social2","utaut_social3","utaut_hedonic1","utaut_hedonic2","utaut_hedonic3","utaut_pricevalue1","utaut_pricevalue2","utaut_pricevalue3","utaut_fascilitating1","utaut_fascilitating2","utaut_fascilitating3","utaut_fascilitating4","utaut_behavioral1","utaut_behavioral2","utaut_behavioral3","utaut_useintention","Sem_Diff_Ziefle_1","Sem_Diff_Ziefle_2","Sem_Diff_Ziefle_3","Sem_Diff_Ziefle_4","Sem_Diff_Ziefle_5","Sem_Diff_Ziefle_6","Sem_Diff_Ziefle_7","Sem_Diff_Ziefle_8","Sem_Diff_Ziefle_9","Sem_Diff_Ziefle_10","Sem_Diff_Ziefle_11","Sem_Diff_Ziefle_12","Sem_Diff_Ziefle_13","Sem_Diff_Ziefle_14","Sem_Diff_Ziefle_15","Sem_Diff_Ziefle_16","Sem_Diff_Ziefle_17","Sem_Diff_Ziefle_18","Sem_Diff_Ziefle_19","Sem_Diff_Ziefle_20","Sem_Diff_Ziefle_21","Sem_Diff_Ziefle_22","Sem_Diff_Ziefle_23"
"1",100,768,"R_5pnAGga1RhZxGXQ",1,27,2,"(Fach-)Hochschulabschluss",1,3,235,"Ja",2,4,5,8,1,6,7,2,3,9,5,1,5,2,5,5,6,5,2,1,2,2,4,5,5,5,5,4,4,3,3,4,5,5,5,5,5,5,5,4,5,4,5,5,5,3,5,5,3,5,5,5,4,4,4,4,2,2,2,4,2,2,4,2,1,5,1,1,5,1,4,3,1,1
"2",100,328,"R_1rvJTxh29UQYIr7",1,28,1,"(Fach-)Hochschulabschluss",1,3,10,"Ja",1,2,8,9,6,7,3,1,4,5,6,1,5,3,5,5,4,3,2,2,2,2,5,5,6,6,5,5,6,3,4,4,3,4,5,5,5,5,5,6,5,4,5,5,4,5,5,5,4,5,5,5,4,5,1,2,2,4,4,3,5,5,5,4,5,5,5,2,4,5,5,5,5,5
"3",100,430,"R_2EnWtxWgYnu2wxj",1,22,1,"(Fach-)Hochschulabschluss",1,3,481011,"Ja",2,2,6,8,5,9,7,1,3,4,5,3,5,2,3,5,5,5,5,2,5,1,5,5,5,5,4,5,5,4,5,5,5,5,5,4,4,5,5,4,4,4,5,3,3,3,4,5,4,4,2,3,3,4,4,4,2,4,5,4,4,4,2,4,4,4,4,4,4,4,5,5,3,3
"4",100,750,"R_7g0U1TnXED8jerY",1,24,1,"(Fach-)Hochschulabschluss",1,3,45,"Ja",2,3,9,7,5,8,6,1,2,4,5,2,5,3,5,5,5,6,2,3,3,3,3,4,4,3,6,6,5,4,4,5,4,5,5,5,6,6,5,4,5,6,6,6,5,5,3,6,6,6,7,5,5,4,4,2,2,4,2,5,4,2,3,3,2,3,2,2,4,5,5,4,5,5
"5",100,662,"R_31XjpJ4Hv9QFxkd",1,25,1,"(Fach-)Abitur",1,3,1011,NA,NA,4,5,7,8,9,6,1,2,3,5,3,5,2,5,4,2,3,3,2,1,1,3,4,3,5,5,4,5,3,6,6,6,6,4,4,4,5,5,5,4,4,5,5,5,6,6,5,4,6,4,4,4,3,4,3,4,4,2,4,4,4,4,3,5,4,5,3,2,5,4,4,4,3
"6",100,782,"R_8nsA6NVe0K3XPS9",1,25,2,"(Fach-)Abitur",1,3,10,"Nein",2,3,8,9,4,5,7,1,2,6,6,5,3,2,5,3,1,3,2,3,1,2,2,1,2,6,4,1,3,1,5,4,4,6,1,1,1,4,3,3,3,2,2,5,5,4,5,1,2,1,2,3,4,4,3,3,4,2,3,3,3,3,4,2,5,2,1,2,2,2,4,3,2,4
"7",100,725,"R_70S4TiTmthsmMw7",1,35,2,"(Fach-)Abitur",1,3,2310,"Ja",1,2,7,8,1,9,4,3,5,6,6,6,6,1,5,4,2,1,4,2,2,1,5,5,4,4,6,6,6,4,6,6,6,6,6,6,6,6,6,6,2,3,3,6,6,6,4,6,6,6,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,2,5,5,5,5,5
"8",100,159,"R_6ckdDJuEjyiOEnP",1,23,1,"(Fach-)Hochschulabschluss",1,3,2371011,"Ja",2,3,4,8,5,9,6,1,2,7,3,3,2,4,4,5,4,4,5,4,3,3,3,4,5,5,4,5,5,5,4,4,5,5,5,5,4,4,3,5,5,5,4,4,3,4,5,5,5,5,5,2,3,5,4,3,3,1,5,3,5,5,5,5,5,5,4,5,4,4,4,2,4,3
"9",100,3000,"R_84vmtfpOCoYwvmj",1,26,1,"(Fach-)Abitur",1,3,237810,"Ja",1,3,8,7,1,9,5,2,4,6,5,2,5,2,5,4,4,5,3,3,4,3,5,5,5,5,2,2,3,1,5,5,5,5,2,3,3,3,4,4,2,3,4,5,5,5,5,2,2,2,2,3,2,2,1,1,3,1,2,2,2,1,3,3,4,5,3,2,2,1,2,3,1,3
"10",100,918,"R_7eY2a72IpRfph1T",1,20,1,"(Fach-)Abitur",1,3,235710,"Nein",2,1,7,9,5,8,6,2,3,4,6,2,5,2,5,5,3,3,2,2,1,2,4,5,2,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,6,6,5,5,5,5,5,5,3,3,3,3,4,3,5,4,5,5,5,5,3,2,4,3,4,5,4,5
"11",100,1508,"R_8mkCkW11JV6Whh4",1,56,1,"(Fach-)Abitur",1,1,25810,"Ja",1,1,7,8,9,5,6,2,3,4,5,2,3,3,5,4,2,2,2,2,2,2,5,4,4,4,5,5,5,2,5,5,5,5,5,5,5,5,4,3,3,4,4,5,5,5,5,5,4,4,2,5,5,5,3,3,4,3,2,4,4,5,5,5,5,5,5,2,2,5,5,3,4,4
"12",100,3029,"R_7FDhCiCSNyifn5P",1,24,2,"Realschulabschluss (Mittlere Reife)",1,3,1011,"Ja",2,3,6,5,1,7,8,2,4,9,4,2,5,1,5,4,2,2,3,5,3,4,3,5,4,3,4,4,3,3,4,5,5,5,3,2,3,4,4,4,5,5,5,5,5,5,5,4,4,4,5,3,4,4,4,4,4,4,4,4,1,5,1,4,5,3,3,3,5,3,5,4,3,3
"13",100,836,"R_2fkIsJDeRsrGBv5",1,35,2,"(Fach-)Hochschulabschluss",1,2,891011,"Ja",1,1,8,7,2,9,5,3,4,6,6,2,5,5,6,6,6,6,2,2,1,2,5,5,5,5,4,5,3,3,5,5,5,5,4,5,5,4,4,4,3,4,4,3,5,3,4,4,4,3,3,4,4,4,5,5,5,5,5,4,4,4,3,3,4,4,3,3,3,4,4,2,3,3
"14",100,987,"R_2CAYTEBEYdq9ZdM",1,52,1,"(Fach-)Hochschulabschluss",1,2,145910,"Ja",1,1,8,9,4,6,7,2,3,5,6,1,5,1,4,2,2,2,4,3,3,4,4,4,4,5,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,5,3,5,5,5,5,4,4,4,4,2,2,2,4,4,5,4,5,4,4,1,2,5,5,3,5,4
"15",100,511,"R_3dpfEb8V4unXYOt",1,22,1,"(Fach-)Hochschulabschluss",1,3,10,"Ja",2,3,4,8,6,7,9,2,1,5,6,2,5,2,4,3,2,2,2,2,2,2,4,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,3,3,4,5,4,4,4,4,4,2,3,4,5,4,3,5,4,5,5,4,3,5,5,5,5,3
"16",100,403,"R_2EclZEQUFqmd9Gc",1,25,1,"(Fach-)Hochschulabschluss",1,3,310,"Ja",1,2,6,9,7,8,4,1,3,5,6,1,6,1,6,6,6,6,1,1,1,2,5,5,4,5,6,6,6,6,6,6,6,6,5,5,6,6,6,6,4,4,4,3,6,6,6,6,6,6,7,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,2,4,5,5,4,5,5
"17",100,632,"R_61jnWBoJ2vmgRKX",1,27,1,"(Fach-)Hochschulabschluss",1,3,23710,"Ja",1,3,9,6,8,7,2,1,4,5,4,5,2,5,4,4,3,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,3,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3
"18",100,493,"R_3qvS5ttCHXg6kEA",1,26,1,"(Fach-)Hochschulabschluss",1,3,410,"Ja",1,3,6,7,4,8,5,1,2,9,5,4,3,4,6,6,4,5,1,2,1,1,3,2,2,2,6,5,5,5,5,5,6,6,6,5,5,6,6,5,6,5,5,6,6,6,6,6,5,5,5,5,4,5,5,4,4,4,3,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5
"19",100,923,"R_3CgjjjKCxugr2BX",1,28,1,"(Fach-)Hochschulabschluss",1,3,210,"Ja",1,2,6,9,5,7,1,4,3,8,5,2,4,2,5,5,4,3,3,1,2,2,2,5,2,5,4,3,4,3,6,6,6,6,5,5,5,4,4,4,3,2,2,3,6,6,6,3,1,2,2,3,4,4,4,4,4,3,4,5,4,4,3,4,3,3,3,3,2,3,3,3,3,3
"20",100,490,"R_1CkRzuBFu8Su66L",1,35,2,"(Fach-)Hochschulabschluss",1,2,237910,"Ja",1,2,1,6,5,7,8,3,9,4,5,3,4,2,6,6,6,6,1,1,1,1,6,6,5,5,5,5,5,4,6,6,6,6,5,5,5,4,4,4,4,5,5,6,6,6,6,5,4,4,5,5,4,4,4,4,4,4,4,5,3,4,4,5,5,5,5,2,4,4,4,4,4,3
"21",100,551,"R_1CKqYIS00v4uj6R",1,29,2,"(Fach-)Hochschulabschluss",1,3,23410,"Ja",1,3,5,8,6,9,4,1,2,7,5,3,5,2,6,5,4,3,2,2,1,1,5,5,5,5,4,4,4,4,6,6,6,6,5,4,5,6,6,6,4,4,4,5,5,5,5,5,3,5,3,4,5,4,4,4,4,4,5,4,4,2,4,5,5,4,4,2,4,4,4,4,4,4
"22",100,972,"R_8P561XRGezguzMB",1,27,2,"(Fach-)Abitur",1,3,31011,"Ja",1,1,9,7,4,8,3,5,2,6,2,5,1,5,6,6,6,3,1,1,1,1,5,5,5,5,1,2,2,2,5,4,3,4,1,1,4,3,2,2,4,4,2,5,5,5,5,2,2,2,1,4,3,4,4,4,4,2,3,4,4,4,4,4,5,4,3,2,3,1,2,3,1,1
"23",100,534,"R_6oYrxzmEOXDsj2u",1,23,1,"(Fach-)Abitur",1,3,10,"Nein",2,9,7,8,4,6,3,2,1,5,4,3,4,3,3,2,2,2,2,2,1,2,4,4,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,5,3,6,6,6,6,6,6,6,7,3,5,5,5,5,5,5,3,3,5,5,3,5,5,5,3,1,1,5,3,5,5,5
"24",100,630,"R_2rTGHBRDVipXnfC",1,25,1,"(Fach-)Abitur",1,3,23910,"Nein",2,4,7,9,6,8,3,1,2,5,6,2,5,2,5,5,4,5,3,3,2,2,4,5,3,2,5,5,5,4,6,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,5,4,5,5,4,4,4,3,3,4,5,5,4,5,2,5,5,3,4,4,4,4,5,5
"25",100,618,"R_6EcHXktSzj50mVz",1,28,1,"(Fach-)Abitur",1,3,234591011,"Ja",2,2,8,7,6,9,5,1,3,4,6,2,5,1,4,3,2,4,2,2,2,2,2,2,3,4,6,6,6,5,5,5,5,5,5,5,6,6,6,5,5,6,5,6,6,6,6,6,6,6,7,5,5,4,4,3,5,3,4,4,5,5,5,5,5,4,4,2,4,5,5,4,5,4
"26",100,5324,"R_21nC3qzZO1yi6a5",1,25,1,"(Fach-)Hochschulabschluss",1,2,37810,"Ja",1,1,8,7,5,9,6,2,3,4,6,1,6,1,3,4,4,1,2,1,2,1,4,6,2,5,2,2,2,3,5,4,5,5,3,5,3,4,3,4,5,4,4,4,1,2,3,4,2,4,2,4,5,4,2,2,1,5,2,4,3,4,1,2,5,5,3,2,3,4,5,1,2,1
"27",100,607,"R_2TqhewEQ7deM0Jr",1,27,2,"(Fach-)Hochschulabschluss",1,3,10,"Ja",1,2,6,9,1,7,8,3,4,5,6,2,4,2,6,5,4,6,1,1,1,1,4,4,4,3,5,6,6,5,6,6,6,6,6,5,5,6,5,5,6,6,6,6,6,5,5,6,6,6,7,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,4,1,5,5,5,5,5,5
"28",100,24344,"R_6UhzZFsIZXBoBvN",1,42,1,"(Fach-)Hochschulabschluss",1,3,235,"Ja",2,5,6,9,3,1,8,4,2,7,6,2,5,1,2,1,1,1,3,5,4,4,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,2,3,5,5,5,4,5,4,4,3,4,3,5,4,4,5,4,4,3,4,4,4,5,4,3
"29",100,640,"R_8LvrBAs5arv2EoX",1,26,2,"(Fach-)Hochschulabschluss",1,3,310,"Nein",2,9,8,7,3,6,4,1,2,5,6,2,4,3,4,4,3,3,2,2,1,2,5,5,5,5,6,6,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,4,6,6,6,7,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,2,3,5,5,5,5,4
"30",100,987,"R_5PYlNC0NLXvAOOr",1,21,2,"(Fach-)Abitur",1,3,1381011,"Nein",2,5,7,9,3,4,8,1,2,6,5,4,4,2,5,5,5,6,2,1,1,1,5,5,2,5,6,6,6,4,5,6,4,4,5,5,6,5,5,5,2,4,3,5,5,3,3,6,5,5,5,5,4,4,4,5,4,5,5,4,5,5,4,4,5,5,2,2,2,5,4,4,4,4
"31",100,661,"R_3cr8KcWlJMrT2QF",1,59,2,"(Fach-)Hochschulabschluss",1,3,1259,"Ja",1,1,8,3,2,7,9,4,6,5,6,2,5,2,4,4,3,2,4,3,3,3,3,4,2,3,3,3,3,2,5,5,5,5,5,5,5,4,4,4,4,5,4,2,4,4,5,3,3,3,2,2,2,3,3,2,5,4,4,4,4,4,3,5,4,2,2,4,4,5,3,3,3,3
"32",100,919,"R_4h0dJlVHJDhf3LZ",1,59,2,"(Fach-)Abitur",1,3,3411,"Ja",2,5,7,6,4,1,8,2,9,3,6,2,5,2,3,4,1,1,4,4,4,2,2,3,3,5,2,2,2,2,5,5,5,5,2,2,2,5,5,5,2,2,2,5,5,5,5,2,2,2,3,3,4,4,4,3,3,5,2,2,3,4,4,2,1,5,5,1,3,2,3,4,3,5
"33",100,890,"R_1YNSJeySTbFbo6l",1,55,1,"(Fach-)Hochschulabschluss",1,3,23457,"Ja",1,3,9,8,7,1,5,4,2,6,5,1,5,1,4,4,3,4,4,4,4,4,4,3,3,3,5,5,5,4,5,4,4,4,6,6,6,4,6,6,6,6,6,6,5,4,5,6,5,5,5,4,4,5,5,4,2,2,3,3,3,5,5,5,5,5,4,5,5,5,5,5,5,3
"34",100,570,"R_7aOFDFI5fZsQ3vP",1,21,2,"(Fach-)Hochschulabschluss",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",100,709,"R_5rwGsYHSSpTl9QK",1,25,1,"(Fach-)Hochschulabschluss",1,3,310,"Ja",1,3,6,9,4,8,7,2,1,5,6,1,5,2,5,4,4,4,2,1,1,1,4,3,3,5,6,5,6,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,6,4,4,6,4,5,3,5,4,4,5,5,4,4,4,3,3,4,4,5,5,5,4,2,3,5,5,5,5,3
"36",100,328,"R_5D6JuFr2ndm0zce",1,33,1,"(Fach-)Hochschulabschluss",1,3,24,"Ja",1,1,5,6,4,7,8,2,3,9,6,2,2,2,5,5,2,2,2,2,1,1,4,5,2,3,4,3,3,2,4,4,4,4,2,2,2,3,3,3,4,4,4,5,5,4,4,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"37",100,384,"R_717BOguEoAmmZX7",1,26,2,"(Fach-)Hochschulabschluss",1,3,27810,"Ja",1,1,7,8,6,9,2,3,4,5,5,2,5,2,6,1,6,6,1,1,1,1,4,4,4,5,5,5,6,6,5,5,5,5,6,6,6,5,5,5,5,4,4,6,5,5,4,5,6,6,6,5,5,5,4,4,5,4,4,4,4,5,5,4,5,5,5,2,4,4,5,4,5,5
"38",100,1406,"R_3B9lUJsx8HMGxK9",1,64,2,"(Fach-)Hochschulabschluss",1,3,123,"Ja",1,1,9,7,6,2,8,3,5,4,6,2,5,2,6,5,4,4,4,3,2,3,4,5,4,2,6,6,6,5,6,5,5,5,4,2,5,5,5,4,2,3,3,4,5,5,5,5,5,4,4,5,5,5,5,5,5,3,5,5,5,3,5,5,3,3,5,3,3,3,5,3,4,3
"39",100,55,"R_2Uf5ARBGnzwNGfp",1,25,1,"(Fach-)Hochschulabschluss",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",100,476,"R_4q3rdMvjtMGNicH",1,27,2,"(Fach-)Hochschulabschluss",1,3,13410,"Ja",1,4,6,9,2,7,8,1,3,5,6,2,4,1,6,6,4,4,2,1,2,1,6,5,3,5,6,6,5,2,5,5,5,5,5,5,5,4,4,6,1,1,1,5,5,4,5,5,5,5,5,4,4,5,2,2,2,1,3,2,2,4,4,5,5,5,4,1,4,4,5,3,4,4
"41",100,546,"R_85Xy57ToBScCdof",1,25,1,"(Fach-)Hochschulabschluss",1,2,1310,"Ja",1,1,9,6,4,8,7,3,2,5,3,1,3,3,3,2,2,1,5,4,3,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,4,1,1,1,4,1,2,4,4,4,4,4,4,5,1,5,4,1,5,4,5
"42",100,601,"R_2fTMRACIiUaOPj3",1,31,1,"(Fach-)Hochschulabschluss",1,3,123410,"Ja",1,1,9,8,2,7,4,3,5,6,5,2,2,4,4,4,2,2,2,3,2,2,3,4,4,4,4,4,4,2,5,4,4,4,5,4,4,4,3,4,3,3,3,5,5,5,4,4,2,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,2
"43",100,1124,"R_7gzpc9nyAysO8b6",1,61,2,"(Fach-)Abitur",1,2,14,"Ja",1,7,1,2,6,8,9,4,3,5,5,2,4,2,5,5,5,4,2,2,2,2,2,5,5,5,5,4,5,4,5,5,5,5,4,4,4,6,6,6,4,5,5,5,4,5,4,5,5,5,3,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,1,4,5,4,3,3,3
"44",100,555,"R_8v8NRXJ08iNX0lS",1,23,2,"(Fach-)Abitur",1,3,237810,"Ja",2,5,8,9,3,6,4,1,2,7,5,3,2,4,5,6,5,4,2,2,1,1,6,6,4,5,5,5,5,5,6,6,6,5,5,5,5,4,5,4,5,5,6,6,5,5,5,6,5,5,5,5,5,4,4,4,4,5,3,4,3,4,5,5,5,5,4,2,5,5,5,4,4,3
"45",100,461,"R_3Bex5vT4DSQuaCk",1,23,1,"(Fach-)Hochschulabschluss",1,3,310,"Ja",1,6,1,7,3,9,5,2,4,8,5,1,4,1,5,4,4,3,2,2,2,2,4,5,4,5,5,5,5,3,5,5,5,5,4,5,6,4,4,3,3,3,3,4,5,3,3,6,4,5,5,5,5,5,5,3,3,3,4,4,5,4,3,4,5,5,3,3,2,5,5,4,5,5
"46",100,490,"R_4zUxy7W053sRTD6",1,58,2,"Hauptschulabschluss / Volksschulabschluss",1,1,13459,"Ja",1,1,8,6,3,2,9,4,5,7,4,4,3,5,2,2,2,1,5,6,4,6,2,2,3,3,4,3,3,2,3,2,3,3,3,5,4,3,3,3,4,4,4,6,2,1,3,3,2,2,1,4,3,3,2,2,2,3,2,3,3,4,3,4,5,4,4,1,4,4,4,4,4,3
"47",100,641,"R_1PZbbMdfRPn6R0q",1,26,2,"(Fach-)Hochschulabschluss",1,3,12349,"Ja",1,1,8,6,5,9,2,4,3,7,3,5,2,5,6,6,5,4,1,1,1,1,3,3,3,3,2,2,3,2,6,6,6,6,2,2,3,5,5,5,5,5,5,6,6,5,5,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4
"48",100,377,"R_2mlR2elgMvTC4zV",1,25,1,"(Fach-)Hochschulabschluss",1,3,2,"Ja",2,4,8,5,3,6,7,2,1,9,5,2,5,2,5,4,3,5,3,3,2,2,4,5,3,3,4,4,4,4,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,5,2,5,3,5,5,5,5,4,3,5,5,1,4,3,4,4,4,2,3,2,2
"49",100,1565,"R_4EZ6uGAnN76Y6aC",1,48,2,"Realschulabschluss (Mittlere Reife)",1,3,8,"Nein",2,3,6,9,5,8,7,1,2,4,6,1,6,2,5,5,3,3,3,2,2,2,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,6,6,6,3,4,4,6,5,4,4,6,6,6,3,5,5,4,4,4,4,4,5,4,3,4,4,5,5,3,3,1,3,4,4,4,4,5
"50",100,1768,"R_2tK9Dnd0WuPhrtn",1,38,1,"(Fach-)Hochschulabschluss",1,3,211,"Nein",2,3,8,5,6,7,9,1,2,4,6,2,2,1,4,3,4,2,2,2,4,1,6,6,6,6,5,4,6,4,4,3,3,4,4,5,4,5,4,3,5,4,5,4,4,5,4,4,4,3,3,5,5,4,3,4,4,3,1,3,1,1,1,5,4,5,5,4,5,5,5,5,5,5
"51",100,579,"R_5IYjBvTx4p3O0Rr",1,23,2,"Realschulabschluss (Mittlere Reife)",1,3,6,"Nein",2,6,7,8,2,9,1,3,4,5,6,3,4,3,2,3,4,5,4,6,2,5,2,5,2,3,3,6,4,5,1,3,6,4,1,3,4,1,2,6,5,6,2,4,1,6,5,4,3,1,6,3,5,5,5,5,5,5,5,3,5,5,3,5,5,4,3,5,5,5,5,5,5,5
"52",100,970,"R_2T6ImyKoDMLhOr7",1,64,2,"(Fach-)Abitur",1,2,145,"Ja",1,1,7,8,6,2,9,4,3,5,6,2,5,1,5,5,4,3,3,3,3,3,4,5,4,5,6,6,6,4,6,6,6,6,5,5,5,6,6,6,5,5,5,5,6,6,5,6,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4
"53",100,1113,"R_2dBkD5eiMVnE8Ts",1,36,1,"(Fach-)Hochschulabschluss",1,1,234711,"Ja",2,2,5,9,7,4,8,1,6,3,5,2,3,5,4,4,2,2,4,4,3,4,2,4,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,7,5,5,1,5,3,4,3,3,4,5,5,5,5,5,5,3,1,4,5,5,5,5,5
"54",100,451,"R_3yeWFK17ZXI4B6i",1,22,1,"(Fach-)Hochschulabschluss",1,3,1011,"Ja",2,3,4,5,6,7,8,2,1,9,5,3,4,2,4,4,4,4,2,2,1,2,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,3,3,3,3,4,3,5,5,5,4,5,3,5,4,5,4,2,5,3,5,4,3,4,3,3,5,5,5,4,4,1,3,4,4,4,5,3
